Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
15231,525.578979,229.749878,85.093788,0.928882,15617,0.572896,Cammeo
14656,494.311005,206.020065,91.730972,0.895405,15072,0.615436,Cammeo
14634,501.122009,214.106781,87.768288,0.912118,14954,0.693259,Cammeo
13176,458.342987,193.337387,87.448395,0.891861,13368,0.640669,Cammeo
14688,507.166992,211.743378,89.312454,0.906691,15262,0.646024,Cammeo
13479,477.015991,200.053055,86.650291,0.901328,13786,0.657897,Cammeo
15757,509.281006,207.296677,98.336136,0.880323,16150,0.589708,Cammeo
16405,526.570007,221.612518,95.436707,0.902521,16837,0.658888,Cammeo
14534,483.640991,196.650818,95.050682,0.875429,14932,0.649651,Cammeo
13485,471.570007,198.272644,87.727287,0.896789,13734,0.57232,Cammeo
14930,499.924988,212.245819,90.017479,0.905606,15248,0.624373,Cammeo
14626,496.585999,204.534134,92.974869,0.890712,15070,0.570214,Cammeo
15926,522.73999,225.736053,91.057091,0.915033,16240,0.779769,Cammeo
14076,479.677002,199.489151,90.709984,0.890639,14434,0.781219,Cammeo
13500,476.915009,202.546677,85.405472,0.906755,13800,0.717703,Cammeo
14349,496.946014,213.544022,86.160774,0.914988,14678,0.666837,Cammeo
15209,496.565002,214.050079,91.026321,0.905073,15395,0.56937,Cammeo
15238,496.871002,208.531784,93.8284,0.893055,15487,0.732314,Cammeo
13509,480.466003,207.137161,83.940163,0.914211,13732,0.595635,Cammeo
13699,480.729004,197.970917,89.949074,0.890821,14178,0.672047,Cammeo
13921,481.993011,203.44487,88.125816,0.901313,14210,0.561331,Cammeo
14405,488.237,204.43013,90.626457,0.896367,14742,0.763786,Cammeo
13377,472.960999,199.940781,86.682869,0.901133,13685,0.794831,Cammeo
15043,498.299011,206.011703,94.766685,0.887916,15414,0.586884,Cammeo
14590,496.171997,212.100754,88.602409,0.908568,14883,0.571485,Cammeo
13237,466.002991,197.9048,85.709572,0.901353,13445,0.592419,Cammeo
16226,524.205017,216.87326,96.653679,0.895198,16748,0.648625,Cammeo
13203,469.466003,199.341858,85.389572,0.903609,13431,0.601558,Cammeo
13328,473.044006,201.398865,85.258606,0.905975,13588,0.7801,Cammeo
14945,493.108002,202.046982,95.079414,0.882357,15357,0.739998,Cammeo
13130,467.921997,196.146805,86.207115,0.898241,13462,0.574818,Cammeo
13414,479.901001,203.085968,85.736877,0.906516,13735,0.714042,Cammeo
16104,507.428986,206.07074,100.753632,0.872324,16457,0.605414,Cammeo
11827,455.221008,194.784454,78.431534,0.91535,12212,0.769987,Cammeo
14479,475.924988,200.551941,92.178062,0.888115,14696,0.711429,Cammeo
14306,482.247986,197.685791,94.056107,0.879561,14667,0.58795,Cammeo
14415,488.122009,203.59285,91.034729,0.894463,14758,0.674102,Cammeo
14415,490.06601,206.539246,90.017532,0.900025,14671,0.653327,Cammeo
14524,480.212006,199.933014,93.312103,0.884407,14808,0.611279,Cammeo
13780,497.428009,221.7229,79.952133,0.932723,14010,0.550781,Cammeo
12768,464.820007,195.388153,84.359917,0.901991,13085,0.582987,Cammeo
13047,486.368988,213.194473,79.288872,0.928269,13621,0.615425,Cammeo
14456,492.950989,212.411224,87.36013,0.91151,14726,0.795028,Cammeo
13973,474.007996,192.349289,93.779144,0.873097,14354,0.614198,Cammeo
13858,482.579987,205.020157,86.964676,0.90558,14154,0.555921,Cammeo
13148,481.721985,201.51889,84.541534,0.907745,13572,0.623749,Cammeo
12792,462.072998,194.481003,84.730888,0.900103,13032,0.593927,Cammeo
15778,515.27301,214.037842,95.497665,0.894947,16283,0.686298,Cammeo
15404,509.516998,217.297577,91.397537,0.907242,15696,0.633701,Cammeo
14911,494.088989,207.560242,92.410606,0.89542,15132,0.604762,Cammeo
15360,504.231995,210.390747,94.740959,0.892873,15751,0.757658,Cammeo
15746,503.230988,204.874435,99.448708,0.874285,16171,0.753037,Cammeo
14304,489.036987,211.026611,86.839424,0.911406,14483,0.577729,Cammeo
15136,518.643982,221.709106,88.207634,0.917449,15469,0.529712,Cammeo
12919,475.26001,201.815659,83.206268,0.911053,13256,0.765162,Cammeo
15224,510.881989,213.196167,92.32341,0.901373,15686,0.63953,Cammeo
12950,468.570007,196.616791,84.800316,0.90221,13584,0.76181,Cammeo
13536,478.006012,203.173782,85.910576,0.906203,13810,0.552806,Cammeo
15551,508.407013,217.015503,92.151817,0.905366,15786,0.807425,Cammeo
14166,483.704987,204.627319,88.992363,0.900479,14412,0.766061,Cammeo
13916,478.877991,201.639679,88.560974,0.898387,14221,0.603993,Cammeo
12308,451.609009,193.267532,81.659889,0.906352,12488,0.724043,Cammeo
15127,499.799988,212.903915,91.151634,0.903715,15370,0.713,Cammeo
14115,486.272003,207.551041,87.78109,0.906159,14422,0.600817,Cammeo
17313,531.984009,225.534592,98.443504,0.899709,17582,0.569881,Cammeo
15147,511.294006,216.099289,90.946388,0.907128,15637,0.534852,Cammeo
16419,531.421021,224.065948,94.54113,0.906626,16874,0.550419,Cammeo
13737,484.38501,209.543518,84.165749,0.915788,13944,0.605208,Cammeo
14053,497.052002,216.191864,84.159935,0.921118,14416,0.808387,Cammeo
11549,440.247986,179.116882,84.495804,0.88174,11961,0.595401,Cammeo
16490,520.31897,212.010757,101.680008,0.877488,16873,0.629365,Cammeo
14011,475.872986,197.728638,91.159081,0.887384,14315,0.777611,Cammeo
15809,518.455017,221.070679,92.2323,0.908811,16079,0.814813,Cammeo
12473,470.339996,202.442825,79.0243,0.920665,12806,0.525976,Cammeo
15319,506.024994,208.227753,94.838745,0.890258,15813,0.573702,Cammeo
15498,512.703979,215.80835,92.624031,0.903211,15914,0.578888,Cammeo
13902,479.231995,201.114883,89.128593,0.896436,14202,0.698698,Cammeo
14837,499.832001,210.067245,91.268646,0.900685,15263,0.680097,Cammeo
15113,493.738007,206.566132,94.191368,0.889987,15374,0.659035,Cammeo
16091,508.830994,209.183884,99.231758,0.880323,16431,0.670458,Cammeo
15543,507.38501,211.651215,94.571396,0.894621,15976,0.65293,Cammeo
13683,492.975006,213.909195,83.120705,0.921415,14070,0.761266,Cammeo
12161,445.048004,182.334747,86.272705,0.880979,12428,0.602806,Cammeo
13711,483.214996,203.880768,86.626907,0.905245,14097,0.561466,Cammeo
12518,473.384003,203.922058,80.007668,0.919818,12778,0.680326,Cammeo
13302,482.690002,209.39711,81.748909,0.920645,13827,0.595328,Cammeo
16418,534.98999,230.158585,91.787178,0.917038,16736,0.646276,Cammeo
14166,491.613007,209.036346,87.524612,0.908122,14386,0.602296,Cammeo
14988,499.355011,212.261978,90.988075,0.903466,15245,0.588688,Cammeo
